source,target
Matt Reeves,José Padilha
George Miller,NA
Steve Hickner,Richard Donner
James Cameron,Mark Waters
Joseph Kosinski,Quentin Tarantino
Roland Emmerich,Will Finn
Robert Stromberg,James Mangold
Dean DeBlois,Joel Schumacher
David Fincher,Guy Ritchie
Ron Howard,NA
Andrew Adamson,Steve Martino
Tim Burton,Spike Jonze
Dan Scanlon,Simon West
Kenneth Branagh,NA
Barry Sonnenfeld,Ron Underwood
Michael Bay,Simon West
John Lasseter,Gary Trousdale
McG,Adam McKay
Steven Spielberg,Ron Clements
Brad Bird,David Twohy
Oliver Stone,Darren Aronofsky
Bryan Singer,Frank Oz
Rob Marshall,Yimou Zhang
Steven Spielberg,Peter Chelsom
James Bobin,Carlos Saldanha
Shawn Levy,Darren Aronofsky
Jonathan Liebesman,NA
Sam Raimi,Rupert Wyatt
Andrew Adamson,Frank Oz
Ridley Scott,Ron Underwood
McG,Gary Trousdale
Brad Bird,James Mangold
Stephen Sommers,Brad Peyton
Kenneth Branagh,Peyton Reed
J.J. Abrams,Gary Trousdale
James Gunn,David Twohy
Jon Turteltaub,Joel Schumacher
Peter Berg,Ron Underwood
James Wan,Simon West
Steven Spielberg,Adam McKay
Jon Turteltaub,John Woo
Shawn Levy,Chris Columbus
Jon Turteltaub,Mark Steven Johnson
Simon Wells,NA
Ridley Scott,Jay Roach
Roland Joffé,Roger Spottiswoode
Chris Buck,Chris Columbus
David Bowers,NA
Marc Forster,Mark Waters
Anthony Russo,Frank Oz
Lee Unkrich,Tom Tykwer
Oliver Stone,John McTiernan
Rob Minkoff,Louis Leterrier
Roland Emmerich,Quentin Tarantino
Doug Liman,Michael Mann
Mike Mitchell,Steven Soderbergh
Francis Lawrence,James Mangold
Oliver Stone,Joel Schumacher
M. Night Shyamalan,Peyton Reed
Lee Tamahori,NA
Alex Proyas,Jon M. Chu
Ridley Scott,Sergey Bodrov
Martin Campbell,Ericson Core
Robert Stromberg,Jan de Bont
Rich Moore,Brad Peyton
Jon Favreau,Paul Weitz
Rob Cohen,Dominic Sena
Stephen Sommers,Michael Mann
Oliver Stone,Tim Story
Sam Mendes,Kathryn Bigelow
James Wan,Patrick Hughes
Martin Scorsese,Paul Weitz
Tom Shadyac,Peter Chelsom
Jon Turteltaub,Kirk De Micco
Peter Berg,Sergey Bodrov
Stephen Sommers,Ron Clements
Carl Rinsch,Jan de Bont
Dean Parisot,NA
Marc Webb,John Lee Hancock
Joseph Kosinski,Ash Brannon
Mike Newell,Brad Silberling
David Fincher,Josh Trank
Martin Scorsese,Quentin Tarantino
Doug Liman,Tony Scott
Christopher Nolan,Gary Ross
Ridley Scott,Renny Harlin
Michael Bay,Luc Besson
Alan Taylor,George Lucas
Ron Howard,John Woo
Joseph Kosinski,Luc Besson
McG,Yimou Zhang
Steven Spielberg,Patrick Hughes
David Fincher,Steven Soderbergh
Ron Howard,Tim Story
M. Night Shyamalan,Chris Columbus
Edward Zwick,Paul Greengrass
Ang Lee,NA
Steven Spielberg,Ericson Core
Robert Stromberg,Dominic Sena
Dean DeBlois,Jan de Bont
Dean Parisot,Peyton Reed
Tim Burton,Mark Waters
McG,Frank Oz
Jon Favreau,Spike Jonze
Rob Cohen,Simon West
Jon Turteltaub,Roger Spottiswoode
Christopher McQuarrie,Tony Gilroy
Christopher Nolan,Daniel Espinosa
Anthony Russo,Ben Stiller
Joseph Kosinski,Sergey Bodrov
Steven Spielberg,Ron Underwood
Jon Favreau,Chris Wedge
Matt Reeves,Tony Scott
David Bowers,Robert Schwentke
Ang Lee,Paul Greengrass
Joseph Kosinski,Wally Pfister
Oliver Stone,Roger Donaldson
Michael Bay,John Moore
Joe Johnston,Tim Story
Bryan Singer,Gary Ross
Anthony Russo,Dennis Dugan
Michael Bay,Renny Harlin
Jon Favreau,Brad Silberling
Martin Scorsese,Pitof
Brad Bird,Paul Weitz
Michael Apted,Roger Spottiswoode
Kenneth Branagh,George Lucas
Robert Stromberg,Simon West
Dean Parisot,Chris Columbus
Richard Donner,Eric Leighton
Gore Verbinski,Tarsem Singh
Ridley Scott,Alan J. Pakula
Brett Ratner,Timur Bekmambetov
Joseph Kosinski,Phil Lord
Oliver Stone,Steven Soderbergh
Jon M. Chu,Alfonso Cuarón
NA,Paul Greengrass
Martin Campbell,Renny Harlin
Lee Unkrich,John Lee Hancock
James Wan,Mark Waters
Martin Scorsese,Ericson Core
Rob Cohen,Patrick Hughes
Eric Darnell,Steven Soderbergh
NA,Mark Osborne
